rho,mu,D,V,e,L,Re,eD,f,delta_P
1000,0.00117,0.0992,1.98,0.0004,3.57,167876.923076923,0.00403225806451613,0.0269153480392692,1898.7025288193
1000,0.00117,0.0992,2.1,0.0004,3.57,178051.282051282,0.00403225806451613,0.0272897778280804,2165.53465318523
1000,0.00117,0.0992,2.22,0.0004,3.57,188225.641025641,0.00403225806451613,0.0274157417192788,2431.26611449989
1000,0.00117,0.0992,2.3,0.0004,3.57,195008.547008547,0.00403225806451613,0.0274157417192788,2609.64973332206
1000,0.00088,0.0992,1.81,0.0004,3.57,204036.363636364,0.00403225806451613,0.0272897778280804,1608.73199031749
1000,0.00088,0.0992,1.9,0.0004,3.57,214181.818181818,0.00403225806451613,0.027478941531024,1784.98162686178
1000,0.00088,0.0992,1.99,0.0004,3.57,224327.272727273,0.00403225806451613,0.027478941531024,1958.09023283528
1000,0.00088,0.0992,2.06,0.0004,3.57,232218.181818182,0.00403225806451613,0.0277971326775929,2122.56495294032
1000,0.00088,0.0992,2.19,0.0004,3.57,246872.727272727,0.00403225806451613,0.0277971326775929,2398.9145467992
1000,0.00088,0.0992,2.35,0.0004,3.57,264909.090909091,0.00403225806451613,0.0279254384123734,2774.99543380759
1000,0.00088,0.0992,2.44,0.0004,3.57,275054.545454545,0.00403225806451613,0.0279898131963436,2998.5148290793
1000,0.00088,0.0992,2.53,0.0004,3.57,285200,0.00403225806451613,0.0281838293126445,3246.14257449034
1000,0.00088,0.0992,2.65,0.0004,3.57,298727.272727273,0.00403225806451613,0.0283139199579938,3577.81842424844
1000,0.00088,0.0992,2.81,0.0004,3.57,316763.636363636,0.00403225806451613,0.0279898131963436,3976.84979539993
1000,0.00081,0.0992,3.01,0.0004,3.57,368632.098765432,0.00403225806451613,0.0279898131963436,4563.09530417585
1000,0.00081,0.0992,3.26,0.0004,3.57,399249.382716049,0.00403225806451613,0.0281838293126445,5389.66470725266
1000,0.00128,0.02434,0.238,0.0002,3.57,4525.71875,0.00821692686935086,0.0391741877107783,162.731474910043
1000,0.00128,0.02434,0.263,0.0002,3.57,5001.109375,0.00821692686935086,0.0377572190925416,191.526619598621
1000,0.00128,0.02434,0.289,0.0002,3.57,5495.515625,0.00821692686935086,0.0372391706254569,228.093722025829
1000,0.00128,0.02434,0.32,0.0002,3.57,6085,0.00821692686935086,0.0363078054770101,272.657597218974
1000,0.00128,0.02434,0.375,0.0002,3.57,7130.859375,0.00821692686935086,0.0349945167028357,360.894432281645
1000,0.00128,0.02434,0.39,0.0002,3.57,7416.09375,0.00821692686935086,0.0339625272590408,378.832177774803
1000,0.00128,0.02434,0.427,0.0002,3.57,8119.671875,0.00821692686935086,0.0325087297385434,434.683741550144
1000,0.00128,0.02434,0.468,0.0002,3.57,8899.3125,0.00821692686935086,0.0325087297385434,522.166916997728
1000,0.00128,0.02434,0.52,0.0002,3.57,9888.125,0.00821692686935086,0.0321366053864032,637.271261389602
1000,0.00128,0.02434,0.6,0.0002,3.57,11409.375,0.00821692686935086,0.0311888958409394,823.417603425951
1000,0.00128,0.02434,0.646,0.0002,3.57,12284.09375,0.00821692686935086,0.0309029543251359,945.763790368115
1000,0.00128,0.02434,0.762,0.0002,3.57,14489.90625,0.00821692686935086,0.0311888958409394,1328.09025256572
1000,0.00128,0.02434,0.904,0.0002,3.57,17190.125,0.00821692686935086,0.0306902198839116,1839.30820204525
1000,0.00128,0.02434,1.025,0.0002,3.57,19491.015625,0.00821692686935086,0.0306902198839116,2364.64188142889
1000,0.00128,0.02434,1.29,0.0002,3.57,24530.15625,0.00821692686935086,0.0302691342810131,3694.00149742421
1000,0.00128,0.02434,1.356,0.0002,3.57,25785.1875,0.00821692686935086,0.0308318795024935,4157.54564166726
1000,0.00128,0.02434,1.71,0.0002,3.57,32516.71875,0.00821692686935086,0.0309029543251359,6626.89161071084
1000,0.00128,0.02434,1.825,0.0002,3.57,34703.515625,0.00821692686935086,0.0306902198839116,7496.23830228112
1000,0.00128,0.02434,1.88,0.0002,3.57,35749.375,0.00821692686935086,0.0314774831410132,8158.93259236937
1000,0.0012,0.02434,1.87,0.0002,3.57,37929.8333333333,0.00821692686935086,0.0311171633710602,7979.96266792049
1000,0.0012,0.02434,2,0.0002,3.57,40566.6666666667,0.00821692686935086,0.0321366053864032,9427.08966552665
1000,0.00118,0.02434,2.14,0.0002,3.57,44142.0338983051,0.00821692686935086,0.0319153785510076,10718.7759526609
1000,0.00118,0.02434,2.24,0.0002,3.57,46204.7457627119,0.00821692686935086,0.0321366053864032,11825.3412764366
1000,0.00118,0.02434,2.42,0.0002,3.57,49917.6271186441,0.00821692686935086,0.0322849412171264,13865.9100490141
1000,0.00116,0.02434,2.62,0.0002,3.57,54974.8275862069,0.00821692686935086,0.0328851630875983,16554.6586111274
1000,0.00116,0.02434,2.8,0.0002,3.57,58751.7241379311,0.00821692686935086,0.0331131121482591,19038.5430011338
1000,0.00114,0.02434,3.02,0.0002,3.57,64479.649122807,0.00821692686935086,0.0337287308658869,22559.6071415688
1000,0.00114,0.02434,3.32,0.0002,3.57,70884.9122807018,0.00821692686935086,0.0335737614242955,27138.9983090727
1000,0.00114,0.02434,3.99,0.0002,3.57,85190,0.00821692686935086,0.0349140315478586,40762.7464854741
1000,0.00114,0.02434,4.21,0.0002,3.57,89887.1929824561,0.00821692686935086,0.0341979442513709,44451.0309743104
1000,0.00114,0.02434,5.08,0.0002,3.57,108462.456140351,0.00821692686935086,0.0349140315478586,66076.2018393564
1000,0.00114,0.02434,6.71,0.0002,3.57,143264.385964912,0.00821692686935086,0.0349140315478586,115282.314434999
1000,0.00114,0.02434,5.66,0.0002,3.57,120845.964912281,0.00821692686935086,0.0350751873952568,82404.4203728549
1000,0.00114,0.02434,7.17,0.0002,3.57,153085.789473684,0.00821692686935086,0.0354813389233575,133769.147048888
1000,0.00114,0.02434,7.95,0.0002,3.57,169739.473684211,0.00821692686935086,0.0344349930763338,159606.988705176
1000,0.00132,0.098,1.01,0.0008,3.57,74984.8484848485,0.00816326530612245,0.034276778654645,636.876013280633
1000,0.00132,0.098,1.13,0.0008,3.57,83893.9393939394,0.00816326530612245,0.0341979442513709,795.369680622625
1000,0.00132,0.098,1.21,0.0008,3.57,89833.3333333333,0.00816326530612245,0.0348337315036012,928.929778934124
1000,0.00114,0.098,1.31,0.0008,3.57,112614.035087719,0.00816326530612245,0.034276778654645,1071.40763296823
1000,0.00132,0.098,1.45,0.0008,3.57,107651.515151515,0.00816326530612245,0.0346736850452532,1327.84734399639
1000,0.00114,0.098,1.57,0.0008,3.57,134964.912280702,0.00816326530612245,0.0350751873952568,1574.74939283535
1000,0.00127,0.098,1.92,0.0008,3.57,148157.480314961,0.00816326530612245,0.0354813389233575,2382.39957077155
1000,0.00127,0.098,2.03,0.0008,3.57,156645.669291339,0.00816326530612245,0.0352370871042487,2644.86933022958
1000,0.00127,0.098,2.2,0.0008,3.57,169763.779527559,0.00816326530612245,0.0369828179780266,3260.2995677486
1000,0.00127,0.098,2.35,0.0008,3.57,181338.582677165,0.00816326530612245,0.0355631318568985,3577.23827845208
1000,0.00127,0.098,2.49,0.0008,3.57,192141.732283465,0.00816326530612245,0.0358921934645005,4053.31950845062
1000,0.00127,0.098,2.66,0.0008,3.57,205259.842519685,0.00816326530612245,0.0355631318568985,4583.26974432151
1000,0.00119,0.098,2.72,0.0008,3.57,224000,0.00816326530612245,0.0358921934645005,4836.70893232707
1000,0.00119,0.098,3.11,0.0008,3.57,256117.647058824,0.00816326530612245,0.0354813389233575,6250.76141722533
1000,0.00119,0.098,3.58,0.0008,3.57,294823.529411765,0.00816326530612245,0.0358921934645005,8378.7300443713
1000,0.00116,0.098,3.71,0.0008,3.57,313431.034482759,0.00816326530612245,0.0349140315478586,8753.06117965068
1000,0.00116,0.098,3.87,0.0008,3.57,326948.275862069,0.00816326530612245,0.0355631318568985,9701.3924803167
1000,0.00116,0.098,4.18,0.0008,3.57,353137.931034483,0.00816326530612245,0.0354813389233575,11291.8398058672
1000,0.00116,0.098,4.24,0.0008,3.57,358206.896551724,0.00816326530612245,0.0361409862639613,11834.3349741459
1000,0.00116,0.098,4.45,0.0008,3.57,375948.275862069,0.00816326530612245,0.0355631318568985,12827.2088744314
1000,0.00116,0.098,4.71,0.0008,3.57,397913.793103448,0.00816326530612245,0.0354813389233575,14336.8571826045
1000,0.00116,0.098,4.95,0.0008,3.57,418189.655172414,0.00816326530612245,0.0363078054770101,16204.0114959723
1000,0.00116,0.098,4.99,0.0008,3.57,421568.965517241,0.00816326530612245,0.0349140315478586,15834.8238300666
1000,0.00115,0.098,5.14,0.0008,3.57,438017.391304348,0.00816326530612245,0.0349140315478586,16801.12576499
1000,0.00115,0.098,5.31,0.0008,3.57,452504.347826087,0.00816326530612245,0.0354813389233575,18222.2158575932
1000,0.00115,0.098,5.35,0.0008,3.57,455913.043478261,0.00816326530612245,0.0355631318568985,18540.4260072421
1000,0.00115,0.098,5.48,0.0008,3.57,466991.304347826,0.00816326530612245,0.0363078054770101,19859.7264290847
1000,0.00115,0.098,5.76,0.0008,3.57,490852.173913044,0.00816326530612245,0.0357272838151929,21590.2221810193
1000,0.00115,0.098,6.09,0.0008,3.57,518973.913043478,0.00816326530612245,0.0355631318568985,24024.0780434692
1000,0.00115,0.098,6.56,0.0008,3.57,559026.086956522,0.00816326530612245,0.0361409862639613,28328.2550253318
1000,0.00115,0.098,6.7,0.0008,3.57,570956.52173913,0.00816326530612245,0.0354813389233575,29010.9366134805
1000,0.00115,0.098,7.21,0.0008,3.57,614417.391304348,0.00816326530612245,0.0355631318568985,33673.0669788829
1000,0.0012,0.098,8.4,0.0008,3.57,686000,0.00816326530612245,0.0352370871042487,45286.7043463805
1000,0.0012,0.098,8.96,0.0008,3.57,731733.333333333,0.00816326530612245,0.0358921934645005,52484.1495217221
1000,0.00092,0.098,7.7,0.0008,3.57,820217.391304348,0.00816326530612245,0.0357272838151929,38582.7869741222
1000,0.00092,0.098,7.74,0.0008,3.57,824478.260869565,0.00816326530612245,0.0354813389233575,38716.3195871185
1000,0.00092,0.098,8.36,0.0008,3.57,890521.739130435,0.00816326530612245,0.0355631318568985,45271.4807398288
1000,0.00092,0.098,8.6,0.0008,3.57,916086.956521739,0.00816326530612245,0.0358921934645005,48351.3993072705
1000,0.00129,0.02434,0.249,0.0004,7.05,4698.18604651163,0.0164338537387017,0.0390840895792402,350.943531181541
